,Series_Title,Bag_of_Word,Bag_of_Word_stem,Bag_of_Word_lema,Top 5 stem,Top 5 lema
834,Blue Velvet,discovery severed human ear found field leads young man investigation related beautiful mysterious nightclub singer group psychopathic criminals kidnapped child discovery severed human ear found field leads young man investigation related beautiful mysterious nightclub singer group psychopathic criminals kidnapped child drama mystery thriller david lynch isabella rossellini kyle maclachlan dennis hopper laura dern,discoveri sever human ear found field lead young man investig relat beauti mysteri nightclub singer group psychopath crimin kidnap child discoveri sever human ear found field lead young man investig relat beauti mysteri nightclub singer group psychopath crimin kidnap child drama mysteri thriller david lynch isabella rossellini kyle maclachlan denni hopper laura dern,discovery sever human ear find field lead young man investigation relate beautiful mysterious nightclub singer group psychopathic criminals kidnap child discovery sever human ear find field lead young man investigation relate beautiful mysterious nightclub singer group psychopathic criminals kidnap child drama mystery thriller david lynch isabella rossellini kyle maclachlan dennis hopper laura dern,"[833, 25, 145, 133, 342]","[350, 868, 68, 342, 903]"
835,The Purple Rose of Cairo,new jersey movie character walks screen real world new jersey movie character walks screen real world comedy fantasy romance woody allen mia farrow jeff daniels danny aiello irving metzman,new jersey movi charact walk screen real world new jersey movi charact walk screen real world comedi fantasi romanc woodi allen mia farrow jeff daniel danni aiello irv metzman,new jersey movie character walk screen real world new jersey movie character walk screen real world comedy fantasy romance woody allen mia farrow jeff daniels danny aiello irving metzman,"[596, 344, 414, 568, 741]","[596, 344, 414, 568, 741]"
836,After Hours,ordinary word processor worst night life agrees visit girl soho met evening coffee shop ordinary word processor worst night life agrees visit girl soho met evening coffee shop comedy crime drama martin scorsese griffin dunne rosanna arquette verna bloom tommy chong,ordinari word processor worst night life agre visit girl soho met even coffe shop ordinari word processor worst night life agre visit girl soho met even coffe shop comedi crime drama martin scorses griffin dunn rosanna arquett verna bloom tommi chong,ordinary word processor worst night life agree visit girl soho meet even coffee shop ordinary word processor worst night life agree visit girl soho meet even coffee shop comedy crime drama martin scorsese griffin dunne rosanna arquette verna bloom tommy chong,"[173, 472, 533, 15, 299]","[259, 490, 173, 459, 472]"
837,Zelig,documentary man look act like whoever hes around meets various famous people documentary man look act like whoever hes around meets various famous people comedy woody allen woody allen mia farrow patrick horgan john buckwalter,documentari man look act like whoever he around meet variou famou peopl documentari man look act like whoever he around meet variou famou peopl comedi woodi allen woodi allen mia farrow patrick horgan john buckwalt,documentary man look act like whoever hes around meet various famous people documentary man look act like whoever hes around meet various famous people comedy woody allen woody allen mia farrow patrick horgan john buckwalter,"[643, 526, 729, 822, 846]","[643, 526, 729, 822, 846]"
838,The Verdict,lawyer sees chance salvage career selfrespect taking medical malpractice case trial rather settling lawyer sees chance salvage career selfrespect taking medical malpractice case trial rather settling drama sidney lumet paul newman charlotte rampling jack warden james mason,lawyer see chanc salvag career selfrespect take medic malpractic case trial rather settl lawyer see chanc salvag career selfrespect take medic malpractic case trial rather settl drama sidney lumet paul newman charlott rampl jack warden jame mason,lawyer see chance salvage career selfrespect take medical malpractice case trial rather settle lawyer see chance salvage career selfrespect take medical malpractice case trial rather settle drama sidney lumet paul newman charlotte rampling jack warden jam mason,"[298, 224, 437, 360, 279]","[224, 437, 360, 279, 298]"
839,Star Trek II: The Wrath of Khan,assistance enterprise crew admiral kirk must stop old nemesis khan noonien singh using lifegenerating genesis device ultimate weapon assistance enterprise crew admiral kirk must stop old nemesis khan noonien singh using lifegenerating genesis device ultimate weapon action adventure scifi nicholas meyer william shatner leonard nimoy deforest kelley james doohan,assist enterpris crew admir kirk must stop old nemesi khan noonien singh use lifegener genesi devic ultim weapon assist enterpris crew admir kirk must stop old nemesi khan noonien singh use lifegener genesi devic ultim weapon action adventur scifi nichola meyer william shatner leonard nimoy deforest kelley jame doohan,assistance enterprise crew admiral kirk must stop old nemesis khan noonien singh use lifegenerating genesis device ultimate weapon assistance enterprise crew admiral kirk must stop old nemesis khan noonien singh use lifegenerating genesis device ultimate weapon action adventure scifi nicholas meyer william shatner leonard nimoy deforest kelley jam doohan,"[746, 339, 332, 357, 58]","[746, 339, 357, 58, 207]"
840,First Blood,veteran green beret forced cruel sheriff deputies flee mountains wage escalating oneman war pursuers veteran green beret forced cruel sheriff deputies flee mountains wage escalating oneman war pursuers action adventure ted kotcheff sylvester stallone brian dennehy richard crenna bill mckinney,veteran green beret forc cruel sheriff deputi flee mountain wage escal oneman war pursuer veteran green beret forc cruel sheriff deputi flee mountain wage escal oneman war pursuer action adventur ted kotcheff sylvest stallon brian dennehi richard crenna bill mckinney,veteran green beret force cruel sheriff deputies flee mountains wage escalate oneman war pursuers veteran green beret force cruel sheriff deputies flee mountains wage escalate oneman war pursuers action adventure ted kotcheff sylvester stallone brian dennehy richard crenna bill mckinney,"[893, 236, 553, 822, 454]","[893, 236, 553, 822, 304]"
841,Ordinary People,accidental death older son affluent family deeply strains relationships among bitter mother goodnatured father guiltridden younger son accidental death older son affluent family deeply strains relationships among bitter mother goodnatured father guiltridden younger son drama robert redford donald sutherland mary tyler moore judd hirsch timothy hutton,accident death older son affluent famili deepli strain relationship among bitter mother goodnatur father guiltridden younger son accident death older son affluent famili deepli strain relationship among bitter mother goodnatur father guiltridden younger son drama robert redford donald sutherland mari tyler moor judd hirsch timothi hutton,accidental death older son affluent family deeply strain relationships among bitter mother goodnatured father guiltridden younger son accidental death older son affluent family deeply strain relationships among bitter mother goodnatured father guiltridden younger son drama robert redford donald sutherland mary tyler moore judd hirsch timothy hutton,"[791, 664, 73, 607, 377]","[791, 664, 73, 377, 607]"
842,Airplane!,man afraid fly must ensure plane lands safely pilots become sick man afraid fly must ensure plane lands safely pilots become sick comedy jim abrahams david zucker jerry zucker robert hays julie hagerty,man afraid fli must ensur plane land safe pilot becom sick man afraid fli must ensur plane land safe pilot becom sick comedi jim abraham david zucker jerri zucker robert hay juli hagerti,man afraid fly must ensure plane land safely pilot become sick man afraid fly must ensure plane land safely pilot become sick comedy jim abrahams david zucker jerry zucker robert hay julie hagerty,"[509, 243, 35, 872, 870]","[509, 243, 35, 872, 870]"
843,Rupan sansei: Kariosutoro no shiro,dashing thief gang desperadoes intrepid policeman struggle free princess evil counts clutches learn hidden secret fabulous treasure holds part key dashing thief gang desperadoes intrepid policeman struggle free princess evil counts clutches learn hidden secret fabulous treasure holds part key animation adventure family hayao miyazaki yasuo yamada eiko masuyama kiyoshi kobayashi makio inoue,dash thief gang desperado intrepid policeman struggl free princess evil count clutch learn hidden secret fabul treasur hold part key dash thief gang desperado intrepid policeman struggl free princess evil count clutch learn hidden secret fabul treasur hold part key anim adventur famili hayao miyazaki yasuo yamada eiko masuyama kiyoshi kobayashi makio inou,dash thief gang desperadoes intrepid policeman struggle free princess evil count clutch learn hide secret fabulous treasure hold part key dash thief gang desperadoes intrepid policeman struggle free princess evil count clutch learn hide secret fabulous treasure hold part key animation adventure family hayao miyazaki yasuo yamada eiko masuyama kiyoshi kobayashi makio inoue,"[270, 947, 797, 642, 991]","[270, 947, 797, 642, 991]"
844,Halloween,fifteen years murdering sister halloween night michael myers escapes mental hospital returns small town haddonfield illinois kill fifteen years murdering sister halloween night michael myers escapes mental hospital returns small town haddonfield illinois kill horror thriller john carpenter donald pleasence jamie lee curtis tony moran nancy kyes,fifteen year murder sister halloween night michael myer escap mental hospit return small town haddonfield illinoi kill fifteen year murder sister halloween night michael myer escap mental hospit return small town haddonfield illinoi kill horror thriller john carpent donald pleasenc jami lee curti toni moran nanci kye,fifteen years murder sister halloween night michael myers escape mental hospital return small town haddonfield illinois kill fifteen years murder sister halloween night michael myers escape mental hospital return small town haddonfield illinois kill horror thriller john carpenter donald pleasence jamie lee curtis tony moran nancy kyes,"[145, 391, 528, 451, 295]","[528, 451, 295, 391, 278]"
845,Le locataire,bureaucrat rents paris apartment finds drawn rabbit hole dangerous paranoia bureaucrat rents paris apartment finds drawn rabbit hole dangerous paranoia drama thriller roman polanski roman polanski isabelle adjani melvyn douglas jo van fleet,bureaucrat rent pari apart find drawn rabbit hole danger paranoia bureaucrat rent pari apart find drawn rabbit hole danger paranoia drama thriller roman polanski roman polanski isabel adjani melvyn dougla jo van fleet,bureaucrat rent paris apartment find draw rabbit hole dangerous paranoia bureaucrat rent paris apartment find draw rabbit hole dangerous paranoia drama thriller roman polanski roman polanski isabelle adjani melvyn douglas jo van fleet,"[121, 283, 425, 56, 916]","[121, 283, 425, 916, 68]"
846,Love and Death,czarist russia neurotic soldier distant cousin formulate plot assassinate napoleon czarist russia neurotic soldier distant cousin formulate plot assassinate napoleon comedy war woody allen woody allen diane keaton georges adet frank adu,czarist russia neurot soldier distant cousin formul plot assassin napoleon czarist russia neurot soldier distant cousin formul plot assassin napoleon comedi war woodi allen woodi allen dian keaton georg adet frank adu,czarist russia neurotic soldier distant cousin formulate plot assassinate napoleon czarist russia neurotic soldier distant cousin formulate plot assassinate napoleon comedy war woody allen woody allen diane keaton georges adet frank adu,"[414, 533, 93, 837, 526]","[414, 533, 93, 837, 526]"
847,The Taking of Pelham One Two Three,new york armed men hijack subway car demand ransom passengers even paid could get away new york armed men hijack subway car demand ransom passengers even paid could get away action crime thriller joseph sargent walter matthau robert shaw martin balsam hector elizondo,new york arm men hijack subway car demand ransom passeng even paid could get away new york arm men hijack subway car demand ransom passeng even paid could get away action crime thriller joseph sargent walter matthau robert shaw martin balsam hector elizondo,new york arm men hijack subway car demand ransom passengers even pay could get away new york arm men hijack subway car demand ransom passengers even pay could get away action crime thriller joseph sargent walter matthau robert shaw martin balsam hector elizondo,"[556, 3, 699, 455, 995]","[556, 3, 699, 455, 995]"
848,Blazing Saddles,order ruin western town corrupt politician appoints black sheriff promptly becomes formidable adversary order ruin western town corrupt politician appoints black sheriff promptly becomes formidable adversary comedy western mel brooks cleavon little gene wilder slim pickens harvey korman,order ruin western town corrupt politician appoint black sheriff promptli becom formid adversari order ruin western town corrupt politician appoint black sheriff promptli becom formid adversari comedi western mel brook cleavon littl gene wilder slim picken harvey korman,order ruin western town corrupt politician appoint black sheriff promptly become formidable adversary order ruin western town corrupt politician appoint black sheriff promptly become formidable adversary comedy western mel brook cleavon little gene wilder slim pickens harvey korman,"[295, 313, 115, 233, 348]","[295, 115, 233, 348, 876]"
849,Serpico,honest new york cop named frank serpico blows whistle rampant corruption force comrades turn honest new york cop named frank serpico blows whistle rampant corruption force comrades turn biography crime drama sidney lumet al pacino john randolph jack kehoe biff mcguire,honest new york cop name frank serpico blow whistl rampant corrupt forc comrad turn honest new york cop name frank serpico blow whistl rampant corrupt forc comrad turn biographi crime drama sidney lumet al pacino john randolph jack keho biff mcguir,honest new york cop name frank serpico blow whistle rampant corruption force comrades turn honest new york cop name frank serpico blow whistle rampant corruption force comrades turn biography crime drama sidney lumet al pacino john randolph jack kehoe biff mcguire,"[622, 699, 3, 305, 933]","[622, 699, 3, 933, 826]"
850,Enter the Dragon,secret agent comes opium lords island fortress fighters martialarts tournament secret agent comes opium lords island fortress fighters martialarts tournament action crime drama robert clouse bruce lee john saxon jim kelly ahna capri,secret agent come opium lord island fortress fighter martialart tournament secret agent come opium lord island fortress fighter martialart tournament action crime drama robert clous bruce lee john saxon jim kelli ahna capri,secret agent come opium lord island fortress fighters martialarts tournament secret agent come opium lord island fortress fighters martialarts tournament action crime drama robert clouse bruce lee john saxon jim kelly ahna capri,"[602, 564, 999, 67, 931]","[602, 564, 999, 67, 931]"
851,Deliverance,intent seeing cahulawassee river dammed turned lake outdoor fanatic lewis medlock takes friends canoeing trip theyll never forget dangerous american backcountry intent seeing cahulawassee river dammed turned lake outdoor fanatic lewis medlock takes friends canoeing trip theyll never forget dangerous american backcountry adventure drama thriller john boorman jon voight burt reynolds ned beatty ronny cox,intent see cahulawasse river dam turn lake outdoor fanat lewi medlock take friend cano trip theyll never forget danger american backcountri intent see cahulawasse river dam turn lake outdoor fanat lewi medlock take friend cano trip theyll never forget danger american backcountri adventur drama thriller john boorman jon voight burt reynold ned beatti ronni cox,intent see cahulawassee river dam turn lake outdoor fanatic lewis medlock take friends canoe trip theyll never forget dangerous american backcountry intent see cahulawassee river dam turn lake outdoor fanatic lewis medlock take friends canoe trip theyll never forget dangerous american backcountry adventure drama thriller john boorman jon voight burt reynolds ned beatty ronny cox,"[221, 267, 128, 885, 159]","[221, 267, 128, 885, 159]"
852,The French Connection,pair nyc cops narcotics bureau stumble onto drug smuggling job french connection pair nyc cops narcotics bureau stumble onto drug smuggling job french connection action crime drama william friedkin gene hackman roy scheider fernando rey tony lo bianco,pair nyc cop narcot bureau stumbl onto drug smuggl job french connect pair nyc cop narcot bureau stumbl onto drug smuggl job french connect action crime drama william friedkin gene hackman roy scheider fernando rey toni lo bianco,pair nyc cop narcotics bureau stumble onto drug smuggle job french connection pair nyc cop narcotics bureau stumble onto drug smuggle job french connection action crime drama william friedkin gene hackman roy scheider fernando rey tony lo bianco,"[979, 802, 375, 987, 232]","[979, 375, 987, 802, 232]"
853,Dirty Harry,madman calling scorpio killer menaces city toughasnails san francisco police inspector dirty harry callahan assigned track ferret crazed psychopath madman calling scorpio killer menaces city toughasnails san francisco police inspector dirty harry callahan assigned track ferret crazed psychopath action crime thriller siegel clint eastwood andrew robinson harry guardino reni santoni,madman call scorpio killer menac citi toughasnail san francisco polic inspector dirti harri callahan assign track ferret craze psychopath madman call scorpio killer menac citi toughasnail san francisco polic inspector dirti harri callahan assign track ferret craze psychopath action crime thriller siegel clint eastwood andrew robinson harri guardino reni santoni,madman call scorpio killer menace city toughasnails san francisco police inspector dirty harry callahan assign track ferret craze psychopath madman call scorpio killer menace city toughasnails san francisco police inspector dirty harry callahan assign track ferret craze psychopath action crime thriller siegel clint eastwood andrew robinson harry guardino reni santoni,"[767, 125, 28, 213, 326]","[767, 125, 28, 213, 326]"
854,Where Eagles Dare,allied agents stage daring raid castle nazis holding american brigadier general george carnaby prisoner thats thats really going allied agents stage daring raid castle nazis holding american brigadier general george carnaby prisoner thats thats really going action adventure war brian g hutton richard burton clint eastwood mary ure patrick wymark,alli agent stage dare raid castl nazi hold american brigadi gener georg carnabi prison that that realli go alli agent stage dare raid castl nazi hold american brigadi gener georg carnabi prison that that realli go action adventur war brian g hutton richard burton clint eastwood mari ure patrick wymark,ally agents stage dare raid castle nazis hold american brigadier general george carnaby prisoner thats thats really go ally agents stage dare raid castle nazis hold american brigadier general george carnaby prisoner thats thats really go action adventure war brian g hutton richard burton clint eastwood mary ure patrick wymark,"[542, 179, 182, 985, 78]","[542, 182, 78, 725, 179]"
855,The Odd Couple,two friends try sharing apartment ideas housekeeping lifestyles different night day two friends try sharing apartment ideas housekeeping lifestyles different night day comedy gene saks jack lemmon walter matthau john fiedler herb edelman,two friend tri share apart idea housekeep lifestyl differ night day two friend tri share apart idea housekeep lifestyl differ night day comedi gene sak jack lemmon walter matthau john fiedler herb edelman,two friends try share apartment ideas housekeep lifestyles different night day two friends try share apartment ideas housekeep lifestyles different night day comedy gene saks jack lemmon walter matthau john fiedler herb edelman,"[64, 508, 117, 565, 528]","[508, 117, 565, 425, 706]"
856,The Dirty Dozen,world war ii rebellious us army major assigned dozen convicted murderers train lead mass assassination mission german officers world war ii rebellious us army major assigned dozen convicted murderers train lead mass assassination mission german officers action adventure war robert aldrich lee marvin ernest borgnine charles bronson john cassavetes,world war ii rebelli us armi major assign dozen convict murder train lead mass assassin mission german offic world war ii rebelli us armi major assign dozen convict murder train lead mass assassin mission german offic action adventur war robert aldrich lee marvin ernest borgnin charl bronson john cassavet,world war ii rebellious us army major assign dozen convict murderers train lead mass assassination mission german officer world war ii rebellious us army major assign dozen convict murderers train lead mass assassination mission german officer action adventure war robert aldrich lee marvin ernest borgnine charles bronson john cassavetes,"[179, 573, 93, 74, 445]","[179, 573, 116, 445, 673]"
857,Belle de jour,frigid young housewife decides spend midweek afternoons prostitute frigid young housewife decides spend midweek afternoons prostitute drama romance luis buñuel catherine deneuve jean sorel michel piccoli geneviève page,frigid young housewif decid spend midweek afternoon prostitut frigid young housewif decid spend midweek afternoon prostitut drama romanc lui buñuel catherin deneuv jean sorel michel piccoli genevièv page,frigid young housewife decide spend midweek afternoons prostitute frigid young housewife decide spend midweek afternoons prostitute drama romance luis buñuel catherine deneuve jean sorel michel piccoli geneviève page,"[995, 637, 350, 259, 481]","[995, 637, 259, 481, 558]"
858,A Man for All Seasons,story sir thomas stood king henry viii king rejected roman catholic church obtain divorce remarry story sir thomas stood king henry viii king rejected roman catholic church obtain divorce remarry biography drama history fred zinnemann paul scofield wendy hiller robert shaw leo mckern,stori sir thoma stood king henri viii king reject roman cathol church obtain divorc remarri stori sir thoma stood king henri viii king reject roman cathol church obtain divorc remarri biographi drama histori fred zinnemann paul scofield wendi hiller robert shaw leo mckern,story sir thomas stand king henry viii king reject roman catholic church obtain divorce remarry story sir thomas stand king henry viii king reject roman catholic church obtain divorce remarry biography drama history fred zinnemann paul scofield wendy hiller robert shaw leo mckern,"[218, 346, 545, 803, 940]","[218, 346, 545, 803, 940]"
859,Repulsion,sexrepulsed woman disapproves sisters boyfriend sinks depression horrific visions rape violence sexrepulsed woman disapproves sisters boyfriend sinks depression horrific visions rape violence drama horror thriller roman polanski catherine deneuve ian hendry john fraser yvonne furneaux,sexrepuls woman disapprov sister boyfriend sink depress horrif vision rape violenc sexrepuls woman disapprov sister boyfriend sink depress horrif vision rape violenc drama horror thriller roman polanski catherin deneuv ian hendri john fraser yvonn furneaux,sexrepulsed woman disapprove sisters boyfriend sink depression horrific visions rape violence sexrepulsed woman disapprove sisters boyfriend sink depression horrific visions rape violence drama horror thriller roman polanski catherine deneuve ian hendry john fraser yvonne furneaux,"[490, 73, 285, 293, 528]","[73, 285, 457, 199, 734]"
860,Zulu,outnumbered british soldiers battle zulu warriors rorkes drift outnumbered british soldiers battle zulu warriors rorkes drift drama history war cy endfield stanley baker jack hawkins ulla jacobsson james booth,outnumb british soldier battl zulu warrior rork drift outnumb british soldier battl zulu warrior rork drift drama histori war cy endfield stanley baker jack hawkin ulla jacobsson jame booth,outnumber british soldier battle zulu warriors rorkes drift outnumber british soldier battle zulu warriors rorkes drift drama history war cy endfield stanley baker jack hawkins ulla jacobsson jam booth,"[573, 747, 790, 692, 950]","[573, 747, 790, 692, 950]"
861,Goldfinger,investigating gold magnates smuggling james bond uncovers plot contaminate fort knox gold reserve investigating gold magnates smuggling james bond uncovers plot contaminate fort knox gold reserve action adventure thriller guy hamilton sean connery gert fröbe honor blackman shirley eaton,investig gold magnat smuggl jame bond uncov plot contamin fort knox gold reserv investig gold magnat smuggl jame bond uncov plot contamin fort knox gold reserv action adventur thriller guy hamilton sean conneri gert fröbe honor blackman shirley eaton,investigate gold magnates smuggle jam bond uncover plot contaminate fort knox gold reserve investigate gold magnates smuggle jam bond uncover plot contaminate fort knox gold reserve action adventure thriller guy hamilton sean connery gert fröbe honor blackman shirley eaton,"[193, 368, 301, 751, 191]","[193, 368, 301, 751, 191]"
862,The Birds,wealthy san francisco socialite pursues potential boyfriend small northern california town slowly takes turn bizarre birds kinds suddenly begin attack people wealthy san francisco socialite pursues potential boyfriend small northern california town slowly takes turn bizarre birds kinds suddenly begin attack people drama horror mystery alfred hitchcock rod taylor tippi hedren jessica tandy suzanne pleshette,wealthi san francisco socialit pursu potenti boyfriend small northern california town slowli take turn bizarr bird kind suddenli begin attack peopl wealthi san francisco socialit pursu potenti boyfriend small northern california town slowli take turn bizarr bird kind suddenli begin attack peopl drama horror mysteri alfr hitchcock rod taylor tippi hedren jessica tandi suzann pleshett,wealthy san francisco socialite pursue potential boyfriend small northern california town slowly take turn bizarre bird kinds suddenly begin attack people wealthy san francisco socialite pursue potential boyfriend small northern california town slowly take turn bizarre bird kinds suddenly begin attack people drama horror mystery alfred hitchcock rod taylor tippi hedren jessica tandy suzanne pleshette,"[767, 278, 658, 655, 627]","[767, 278, 658, 627, 360]"
863,Cape Fear,lawyers family stalked man helped put jail lawyers family stalked man helped put jail drama thriller j lee thompson gregory peck robert mitchum polly bergen lori martin,lawyer famili stalk man help put jail lawyer famili stalk man help put jail drama thriller j lee thompson gregori peck robert mitchum polli bergen lori martin,lawyers family stalk man help put jail lawyers family stalk man help put jail drama thriller j lee thompson gregory peck robert mitchum polly bergen lori martin,"[87, 895, 788, 180, 196]","[87, 895, 999, 680, 436]"
864,Peeping Tom,young man murders women using movie camera film dying expressions terror young man murders women using movie camera film dying expressions terror drama horror thriller michael powell karlheinz böhm anna massey moira shearer maxine audley,young man murder women use movi camera film die express terror young man murder women use movi camera film die express terror drama horror thriller michael powel karlheinz böhm anna massey moira shearer maxin audley,young man murder women use movie camera film die expressions terror young man murder women use movie camera film die expressions terror drama horror thriller michael powell karlheinz böhm anna massey moira shearer maxine audley,"[310, 642, 485, 239, 995]","[310, 642, 485, 239, 995]"
865,The Magnificent Seven,seven gunfighters hired mexican peasants liberate village oppressive bandits seven gunfighters hired mexican peasants liberate village oppressive bandits action adventure western john sturges yul brynner steve mcqueen charles bronson eli wallach,seven gunfight hire mexican peasant liber villag oppress bandit seven gunfight hire mexican peasant liber villag oppress bandit action adventur western john sturg yul brynner steve mcqueen charl bronson eli wallach,seven gunfighters hire mexican peasants liberate village oppressive bandits seven gunfighters hire mexican peasants liberate village oppressive bandits action adventure western john sturges yul brynner steve mcqueen charles bronson eli wallach,"[31, 990, 177, 306, 72]","[31, 306, 796, 179, 72]"
866,Les yeux sans visage,surgeon causes accident leaves daughter disfigured goes extremes give new face surgeon causes accident leaves daughter disfigured goes extremes give new face drama horror georges franju pierre brasseur alida valli juliette mayniel alexandre rignault,surgeon caus accid leav daughter disfigur goe extrem give new face surgeon caus accid leav daughter disfigur goe extrem give new face drama horror georg franju pierr brasseur alida valli juliett mayniel alexandr rignault,surgeon cause accident leave daughter disfigure go extremes give new face surgeon cause accident leave daughter disfigure go extremes give new face drama horror georges franju pierre brasseur alida valli juliette mayniel alexandre rignault,"[804, 745, 962, 100, 878]","[804, 100, 745, 878, 286]"
867,Invasion of the Body Snatchers,smalltown doctor learns population community replaced emotionless alien duplicates smalltown doctor learns population community replaced emotionless alien duplicates drama horror scifi siegel kevin mccarthy dana wynter larry gates king donovan,smalltown doctor learn popul commun replac emotionless alien duplic smalltown doctor learn popul commun replac emotionless alien duplic drama horror scifi siegel kevin mccarthi dana wynter larri gate king donovan,smalltown doctor learn population community replace emotionless alien duplicate smalltown doctor learn population community replace emotionless alien duplicate drama horror scifi siegel kevin mccarthy dana wynter larry gate king donovan,"[476, 207, 357, 271, 872]","[357, 271, 872, 476, 238]"
868,Rebel Without a Cause,rebellious young man troubled past comes new town finding friends enemies rebellious young man troubled past comes new town finding friends enemies drama nicholas ray james dean natalie wood sal mineo jim backus,rebelli young man troubl past come new town find friend enemi rebelli young man troubl past come new town find friend enemi drama nichola ray jame dean natali wood sal mineo jim backu,rebellious young man trouble past come new town find friends enemies rebellious young man trouble past come new town find friends enemies drama nicholas ray jam dean natalie wood sal mineo jim backus,"[995, 598, 699, 350, 642]","[995, 598, 350, 916, 267]"
869,The Ladykillers,five oddball criminals planning bank robbery rent rooms culdesac octogenarian widow pretext classical musicians five oddball criminals planning bank robbery rent rooms culdesac octogenarian widow pretext classical musicians comedy crime alexander mackendrick alec guinness peter sellers cecil parker herbert lom,five oddbal crimin plan bank robberi rent room culdesac octogenarian widow pretext classic musician five oddbal crimin plan bank robberi rent room culdesac octogenarian widow pretext classic musician comedi crime alexand mackendrick alec guin peter seller cecil parker herbert lom,five oddball criminals plan bank robbery rent room culdesac octogenarian widow pretext classical musicians five oddball criminals plan bank robbery rent room culdesac octogenarian widow pretext classical musicians comedy crime alexander mackendrick alec guinness peter sellers cecil parker herbert lom,"[441, 416, 339, 921, 442]","[441, 416, 339, 921, 442]"
870,Sabrina,playboy becomes interested daughter familys chauffeur serious brother would better man playboy becomes interested daughter familys chauffeur serious brother would better man comedy drama romance billy wilder humphrey bogart audrey hepburn william holden walter hampden,playboy becom interest daughter famili chauffeur seriou brother would better man playboy becom interest daughter famili chauffeur seriou brother would better man comedi drama romanc billi wilder humphrey bogart audrey hepburn william holden walter hampden,playboy become interest daughter familys chauffeur serious brother would better man playboy become interest daughter familys chauffeur serious brother would better man comedy drama romance billy wilder humphrey bogart audrey hepburn william holden walter hampden,"[995, 87, 788, 863, 763]","[995, 310, 117, 35, 619]"
871,The Quiet Man,retired american boxer returns village birth ireland falls spirited redhead whose brother contemptuous union retired american boxer returns village birth ireland falls spirited redhead whose brother contemptuous union comedy drama romance john ford john wayne maureen ohara barry fitzgerald ward bond,retir american boxer return villag birth ireland fall spirit redhead whose brother contemptu union retir american boxer return villag birth ireland fall spirit redhead whose brother contemptu union comedi drama romanc john ford john wayn maureen ohara barri fitzgerald ward bond,retire american boxer return village birth ireland fall spirit redhead whose brother contemptuous union retire american boxer return village birth ireland fall spirit redhead whose brother contemptuous union comedy drama romance john ford john wayne maureen ohara barry fitzgerald ward bond,"[553, 295, 446, 453, 436]","[553, 295, 446, 453, 436]"
872,The Day the Earth Stood Still,alien lands tells people earth must live peacefully destroyed danger planets alien lands tells people earth must live peacefully destroyed danger planets drama scifi robert wise michael rennie patricia neal hugh marlowe sam jaffe,alien land tell peopl earth must live peac destroy danger planet alien land tell peopl earth must live peac destroy danger planet drama scifi robert wise michael renni patricia neal hugh marlow sam jaff,alien land tell people earth must live peacefully destroy danger planets alien land tell people earth must live peacefully destroy danger planets drama scifi robert wise michael rennie patricia neal hugh marlowe sam jaffe,"[357, 207, 966, 205, 493]","[357, 207, 966, 205, 278]"
873,The African Queen,wwi africa ginswilling riverboat captain persuaded straitlaced missionary use boat attack enemy warship wwi africa ginswilling riverboat captain persuaded straitlaced missionary use boat attack enemy warship adventure drama romance john huston humphrey bogart katharine hepburn robert morley peter bull,wwi africa ginswil riverboat captain persuad straitlac missionari use boat attack enemi warship wwi africa ginswil riverboat captain persuad straitlac missionari use boat attack enemi warship adventur drama romanc john huston humphrey bogart katharin hepburn robert morley peter bull,wwi africa ginswilling riverboat captain persuade straitlaced missionary use boat attack enemy warship wwi africa ginswilling riverboat captain persuade straitlaced missionary use boat attack enemy warship adventure drama romance john huston humphrey bogart katharine hepburn robert morley peter bull,"[80, 266, 117, 529, 191]","[80, 266, 117, 529, 191]"
874,Gilda,smalltime gambler hired work buenos aires casino discovers employers new wife former lover smalltime gambler hired work buenos aires casino discovers employers new wife former lover drama filmnoir romance charles vidor rita hayworth glenn ford george macready joseph calleia,smalltim gambler hire work bueno air casino discov employ new wife former lover smalltim gambler hire work bueno air casino discov employ new wife former lover drama filmnoir romanc charl vidor rita hayworth glenn ford georg macreadi joseph calleia,smalltime gambler hire work buenos air casino discover employers new wife former lover smalltime gambler hire work buenos air casino discover employers new wife former lover drama filmnoir romance charles vidor rita hayworth glenn ford george macready joseph calleia,"[312, 588, 572, 933, 460]","[933, 312, 588, 460, 400]"
875,Fantasia,collection animated interpretations great works western classical music collection animated interpretations great works western classical music animation family fantasy james algar samuel armstrong ford beebe jr norman ferguson david hand,collect anim interpret great work western classic music collect anim interpret great work western classic music anim famili fantasi jame algar samuel armstrong ford beeb jr norman ferguson david hand,collection animate interpretations great work western classical music collection animate interpretations great work western classical music animation family fantasy jam algar samuel armstrong ford beebe jr norman ferguson david hand,"[330, 501, 61, 34, 295]","[501, 295, 457, 115, 704]"
876,The Invisible Man,scientist finds way becoming invisible becomes murderously insane scientist finds way becoming invisible becomes murderously insane horror scifi james whale claude rains gloria stuart william harrigan henry travers,scientist find way becom invis becom murder insan scientist find way becom invis becom murder insan horror scifi jame whale claud rain gloria stuart william harrigan henri traver,scientist find way become invisible become murderously insane scientist find way become invisible become murderously insane horror scifi jam whale claude rain gloria stuart william harrigan henry travers,"[329, 763, 81, 67, 386]","[329, 763, 67, 386, 995]"
